Device,Management IP,Interface,Interface Status,Admin Status,Operational Status,Decom/Scream Test Candidate,Score Rate,VLAN,Mode,Native VLAN,Allowed VLANs,Circuit Vendor,Circuit IDs,Circuit Type,Circuit Directly Attached,Matched Keywords,Description,MAC Count,MAC Addresses,MAC Vendor,Device Type,Notes
DDC1-ISP-DSW1,DDC1-ISP-DSW1,Eth1/1,connected,up,up,No,0,trunk,trunk,1,,Unknown,,,DDC1-ISP-FW1,ISP,DDC1-ISP-FW1 Eth23,0,,Unknown,Unknown,Vendor Unknown; Circuit ID Missing; No MAC Addresses Learned
DDC1-ISP-DSW1,DDC1-ISP-DSW1,Eth1/2,connected,up,up,No,0,trunk,trunk,1,,Unknown,,,DDC1-ISP-FW7,ISP,DDC1-ISP-FW7 Eth1/1,0,,Unknown,Unknown,Vendor Unknown; Circuit ID Missing; No MAC Addresses Learned
DDC1-ISP-DSW1,DDC1-ISP-DSW1,Eth1/4,ChannelDown,up,down,Yes,1,trunk,trunk,1,,Unknown,,,DDC1-PCIDMZ-DFW1,,DDC1-PCIDMZ-DFW1 Eth1/3,0,,Unknown,Unknown,Interface Down; Vendor Unknown; Circuit ID Missing; No MAC Addresses Learned
DDC1-ISP-DSW1,DDC1-ISP-DSW1,Eth1/5,connected,up,up,No,0,trunk,trunk,1,,Unknown,,,CMM_FW1,,CMM_FW1,0,,Unknown,Unknown,Vendor Unknown; Circuit ID Missing; No MAC Addresses Learned
DDC1-ISP-DSW1,DDC1-ISP-DSW1,Eth1/6,connected,up,up,No,0,trunk,trunk,1,,Unknown,,,CMM_FW1,,CMM_FW1,0,,Unknown,Unknown,Vendor Unknown; Circuit ID Missing; No MAC Addresses Learned
DDC1-ISP-DSW1,DDC1-ISP-DSW1,Eth1/7,connected,up,up,No,0,trunk,trunk,1,,Unknown,,,DDC1-B2B-FW5,B2B,DDC1-B2B-FW5 E1/19,0,,Unknown,Unknown,Vendor Unknown; Circuit ID Missing; No MAC Addresses Learned
DDC1-ISP-DSW1,DDC1-ISP-DSW1,Eth1/8,notconnec,up,down,Yes,1,30,access,1,,Unknown,,,DDC1-USONME-FW1,,DDC1-USONME-FW1 Ten2/0 mon,0,,Unknown,Unknown,Interface Down; Vendor Unknown; Circuit ID Missing; No MAC Addresses Learned
DDC1-ISP-DSW1,DDC1-ISP-DSW1,Eth1/9,notconnec,up,down,Yes,1,7,access,1,,Unknown,,,DDC1-PRXY-FW1,,DDC1-PRXY-FW1 Eth2/1,0,,Unknown,Unknown,Interface Down; Vendor Unknown; Circuit ID Missing; No MAC Addresses Learned
DDC1-ISP-DSW1,DDC1-ISP-DSW1,Eth1/10,notconnec,up,down,Yes,1,1,access,1,,Unknown,,,DDC1-MDFA1-IDS2,,DDC1-MDFA1-IDS2 ETH3,0,,Unknown,Unknown,Interface Down; Vendor Unknown; Circuit ID Missing; No MAC Addresses Learned
DDC1-ISP-DSW1,DDC1-ISP-DSW1,Eth1/11,connected,up,up,No,0,trunk,trunk,1,,Unknown,,,DDC-ISP-FW5,ISP,DDC-ISP-FW5 E1/5,4,,Palo Alto Networks,Network Device,Vendor Unknown; Circuit ID Missing
DDC1-ISP-DSW1,DDC1-ISP-DSW1,Eth1/12,connected,up,up,Yes,0,trunk,trunk,1,,Unknown,,,DDC1-SCS-FW1,,DDC1-SCS-FW1 Eth1/6,1,b40c.25e5.0045,Palo Alto Networks,Network Device,Vendor Unknown; Circuit ID Missing
DDC1-ISP-DSW1,DDC1-ISP-DSW1,Eth1/13,connected,up,up,No,0,trunk,trunk,1,,Unknown,,,DDC1-PCIDMZ-DFW1,,DDC1-PCIDMZ-DFW1 Eth1/6,3,,Palo Alto Networks,Network Device,Vendor Unknown; Circuit ID Missing
DDC1-ISP-DSW1,DDC1-ISP-DSW1,Eth1/14,connected,up,up,No,0,6,access,1,,Unknown,,,To,PA,To PA DDC1-SMO-FW1 trust e1/9,0,,Unknown,Unknown,Vendor Unknown; Circuit ID Missing; No MAC Addresses Learned
DDC1-ISP-DSW1,DDC1-ISP-DSW1,Eth1/15,connected,up,up,No,0,6,access,1,,Unknown,,,To,PA,To PA DDC1-SMO-FW1 trust e1/10,0,,Unknown,Unknown,Vendor Unknown; Circuit ID Missing; No MAC Addresses Learned
DDC1-ISP-DSW1,DDC1-ISP-DSW1,Eth1/16,connected,up,up,Yes,0,40,access,1,,Unknown,,,DDC1-ISP-FW5,"ISP,PRISMA",DDC1-ISP-FW5 Eth1/10-prisma-access,1,b40c.25ea.8049,Palo Alto Networks,Network Device,Vendor Unknown; Circuit ID Missing
DDC1-ISP-DSW1,DDC1-ISP-DSW1,Eth1/17,sfpabsent,up,down,Yes,1,routed,,,,Unknown,,,--,,--,0,,Unknown,Unknown,Interface Down; Vendor Unknown; Circuit ID Missing; No MAC Addresses Learned
DDC1-ISP-DSW1,DDC1-ISP-DSW1,Eth1/18,connected,up,up,No,0,30,access,1,,Unknown,,,DDC1-USONME-FW3,,DDC1-USONME-FW3 E1/7,0,,Unknown,Unknown,Vendor Unknown; Circuit ID Missing; No MAC Addresses Learned
DDC1-ISP-DSW1,DDC1-ISP-DSW1,Eth1/19,connected,up,up,No,0,1710,access,1,,Unknown,,,DDC1-USON-FW5,,DDC1-USON-FW5 E9 AE3,0,,Unknown,Unknown,Vendor Unknown; Circuit ID Missing; No MAC Addresses Learned
DDC1-ISP-DSW1,DDC1-ISP-DSW1,Eth1/20,connected,up,up,No,0,1710,access,1,,Unknown,,,DDC1-USON-FW5,,DDC1-USON-FW5 E10 AE3,0,,Unknown,Unknown,Vendor Unknown; Circuit ID Missing; No MAC Addresses Learned
DDC1-ISP-DSW1,DDC1-ISP-DSW1,Eth1/21,connected,up,up,No,0,1,fex-fabric,1,,Unknown,,,--,,--,0,,Unknown,Unknown,Vendor Unknown; Circuit ID Missing; No MAC Addresses Learned
DDC1-ISP-DSW1,DDC1-ISP-DSW1,Eth1/22,connected,up,up,No,0,1,fex-fabric,1,,Unknown,,,--,,--,0,,Unknown,Unknown,Vendor Unknown; Circuit ID Missing; No MAC Addresses Learned
DDC1-ISP-DSW1,DDC1-ISP-DSW1,Eth1/23,connected,up,up,No,0,routed,,,,Unknown,,,DDC1-MDFE1-COR1,,DDC1-MDFE1-COR1,0,,Unknown,Unknown,Vendor Unknown; Circuit ID Missing; No MAC Addresses Learned
DDC1-ISP-DSW1,DDC1-ISP-DSW1,Eth1/24,connected,up,up,No,0,trunk,trunk,1,,Unknown,,,DDC1-ISP-DSW2,ISP,DDC1-ISP-DSW2 Eth1/24,0,,Unknown,Unknown,Vendor Unknown; Circuit ID Missing; No MAC Addresses Learned
DDC1-ISP-DSW1,DDC1-ISP-DSW1,Eth2/1,connected,up,up,No,0,trunk,trunk,1,,Unknown,,,DDC1-ISP-FW1,ISP,DDC1-ISP-FW1 Eth24,0,,Unknown,Unknown,Vendor Unknown; Circuit ID Missing; No MAC Addresses Learned
DDC1-ISP-DSW1,DDC1-ISP-DSW1,Eth2/2,connected,up,up,No,0,trunk,trunk,1,,Unknown,,,DDC1-ISP-FW7,ISP,DDC1-ISP-FW7 Eth1/2,0,,Unknown,Unknown,Vendor Unknown; Circuit ID Missing; No MAC Addresses Learned
DDC1-ISP-DSW1,DDC1-ISP-DSW1,Eth2/4,ChannelDown,up,down,Yes,1,trunk,trunk,1,,Unknown,,,DDC1-PCIDMZ-DFW1,,DDC1-PCIDMZ-DFW1 Eth1/4,0,,Unknown,Unknown,Interface Down; Vendor Unknown; Circuit ID Missing; No MAC Addresses Learned
DDC1-ISP-DSW1,DDC1-ISP-DSW1,Eth2/6,notconnec,up,down,Yes,1,trunk,trunk,1,,Unknown,,,DDC-ISP-FW5,ISP,DDC-ISP-FW5 Eth2/2,0,,Unknown,Unknown,Interface Down; Vendor Unknown; Circuit ID Missing; No MAC Addresses Learned
DDC1-ISP-DSW1,DDC1-ISP-DSW1,Eth2/7,connected,up,up,No,0,trunk,trunk,1,,Unknown,,,DDC1-B2B-FW5,B2B,DDC1-B2B-FW5 E1/20,0,,Unknown,Unknown,Vendor Unknown; Circuit ID Missing; No MAC Addresses Learned
DDC1-ISP-DSW1,DDC1-ISP-DSW1,Eth2/8,notconnec,up,down,Yes,1,51,access,1,,Unknown,,,DDCPROXY07,,DDCPROXY07 LAN - mon,0,,Unknown,Unknown,Interface Down; Vendor Unknown; Circuit ID Missing; No MAC Addresses Learned
DDC1-ISP-DSW1,DDC1-ISP-DSW1,Eth2/10,notconnec,up,down,Yes,1,51,access,1,,Unknown,,,DDCPROXY,,DDCPROXY AV1 mon,0,,Unknown,Unknown,Interface Down; Vendor Unknown; Circuit ID Missing; No MAC Addresses Learned
DDC1-ISP-DSW1,DDC1-ISP-DSW1,Eth2/11,sfpabsent,up,down,Yes,1,routed,,,,Unknown,,,--,,--,0,,Unknown,Unknown,Interface Down; Vendor Unknown; Circuit ID Missing; No MAC Addresses Learned
DDC1-ISP-DSW1,DDC1-ISP-DSW1,Eth2/12,notconnec,up,down,Yes,1,51,access,1,,Unknown,,,DDCPROXYMGMT,,DDCPROXYMGMT mon,0,,Unknown,Unknown,Interface Down; Vendor Unknown; Circuit ID Missing; No MAC Addresses Learned
DDC1-ISP-DSW1,DDC1-ISP-DSW1,Eth2/13,notconnec,up,down,Yes,1,51,access,1,,Unknown,,,DDCPROXY12,,DDCPROXY12 mon,0,,Unknown,Unknown,Interface Down; Vendor Unknown; Circuit ID Missing; No MAC Addresses Learned
DDC1-ISP-DSW1,DDC1-ISP-DSW1,Eth2/14,notconnec,up,down,Yes,1,51,access,1,,Unknown,,,DDCPROXY01,,DDCPROXY01 LAN mon,0,,Unknown,Unknown,Interface Down; Vendor Unknown; Circuit ID Missing; No MAC Addresses Learned
DDC1-ISP-DSW1,DDC1-ISP-DSW1,Eth2/15,notconnec,up,down,Yes,1,1,access,1,,Unknown,,,DDC1-SPN-XSW4,,DDC1-SPN-XSW4 Port9,0,,Unknown,Unknown,Interface Down; Vendor Unknown; Circuit ID Missing; No MAC Addresses Learned
DDC1-ISP-DSW1,DDC1-ISP-DSW1,Eth2/16,connected,up,up,No,0,1,access,1,,Unknown,,,DDC1-BMF-LSW1-port19-BIGSWITCH,,DDC1-BMF-LSW1-port19-BIGSWITCH,0,,Unknown,Unknown,Vendor Unknown; Circuit ID Missing; No MAC Addresses Learned
DDC1-ISP-DSW1,DDC1-ISP-DSW1,Eth2/17,sfpabsent,up,down,Yes,1,routed,,,,Unknown,,,--,,--,0,,Unknown,Unknown,Interface Down; Vendor Unknown; Circuit ID Missing; No MAC Addresses Learned
DDC1-ISP-DSW1,DDC1-ISP-DSW1,Eth2/18,connected,up,up,No,0,30,access,1,,Unknown,,,DDC1-USONME-FW3,,DDC1-USONME-FW3 E1/11 Agg3,0,,Unknown,Unknown,Vendor Unknown; Circuit ID Missing; No MAC Addresses Learned
DDC1-ISP-DSW1,DDC1-ISP-DSW1,Eth2/19,sfpabsent,up,down,Yes,1,routed,,,,Unknown,,,--,,--,0,,Unknown,Unknown,Interface Down; Vendor Unknown; Circuit ID Missing; No MAC Addresses Learned
DDC1-ISP-DSW1,DDC1-ISP-DSW1,Eth2/20,connected,up,up,No,0,9,access,1,,Unknown,,,DC1-EXT1-FW1,,DC1-EXT1-FW1 E1/6(vSys-MHS-FW1),0,,Unknown,Unknown,Vendor Unknown; Circuit ID Missing; No MAC Addresses Learned
DDC1-ISP-DSW1,DDC1-ISP-DSW1,Eth2/21,connected,up,up,No,0,1,fex-fabric,1,,Unknown,,,--,,--,0,,Unknown,Unknown,Vendor Unknown; Circuit ID Missing; No MAC Addresses Learned
DDC1-ISP-DSW1,DDC1-ISP-DSW1,Eth2/22,connected,up,up,No,0,1,fex-fabric,1,,Unknown,,,--,,--,0,,Unknown,Unknown,Vendor Unknown; Circuit ID Missing; No MAC Addresses Learned
DDC1-ISP-DSW1,DDC1-ISP-DSW1,Eth2/23,connected,up,up,No,0,17,access,1,,Unknown,,,DDCEXTFW1,,DDCEXTFW1 Eth1/5,0,,Unknown,Unknown,Vendor Unknown; Circuit ID Missing; No MAC Addresses Learned
DDC1-ISP-DSW1,DDC1-ISP-DSW1,Eth2/24,connected,up,up,No,0,trunk,trunk,1,,Unknown,,,DDC1-ISP-DSW2,ISP,DDC1-ISP-DSW2 Eth2/24,0,,Unknown,Unknown,Vendor Unknown; Circuit ID Missing; No MAC Addresses Learned
DDC1-ISP-DSW1,DDC1-ISP-DSW1,Eth101/1/1,notconnec,up,down,Yes,1,15,access,1,,Unknown,,,DDCASPFW1,,DDCASPFW1 Eth1/2,0,,Unknown,Unknown,Interface Down; Vendor Unknown; Circuit ID Missing; No MAC Addresses Learned
DDC1-ISP-DSW1,DDC1-ISP-DSW1,Eth101/1/2,notconnec,up,down,Yes,1,11,access,1,,Unknown,,,DDC1-B2B-FW1,B2B,DDC1-B2B-FW1 Eth1,0,,Unknown,Unknown,Interface Down; Vendor Unknown; Circuit ID Missing; No MAC Addresses Learned
DDC1-ISP-DSW1,DDC1-ISP-DSW1,Eth101/1/6,connected,up,up,Yes,0,14,access,1,,Unknown,,,DDC1-B2B-FW3,B2B,DDC1-B2B-FW3 Eth1/2,2,"0010.dbba.8a08, 0010.dbff.e080",Juniper Networks,Network Device,Vendor Unknown; Circuit ID Missing
