Device,VLAN,VLAN_Name,SVI_IP,SVI_MAC,SVI_MAC_Company,SVI_Description,MAC_Count,ARP_Count,Traffic_Check,Traffic_Ports,Traffic_Statistics,MAC_Address,MAC_Company,ARP_Check,ARP_Missing_MACs,Root_Bridge,Shutdown_Recommendation
DDC1-USON-ASW1,1,default,,,,,2,0,TRAFFIC_DETECTED,Po2,Po2: IN 24149464 bps / OUT 19494832 bps,1a2e.3af0.74dd; 4257.b8dc.d574,Locally administered/randomized MAC; Locally administered/randomized MAC,MISSING_ARP,1a2e.3af0.74dd; 4257.b8dc.d574,NO,
DDC1-USON-ASW1,110,USON_WEB1,,,,,2,0,TRAFFIC_DETECTED,Po2,Po2: IN 22371096 bps / OUT 17117896 bps,0000.0c9f.f00a; 0026.9822.8bc3,"Cisco Systems, Inc; Cisco Systems, Inc",MISSING_ARP,0000.0c9f.f00a; 0026.9822.8bc3,NO,
DDC1-USON-ASW1,111,USON_WEB2,,,,,2,0,TRAFFIC_DETECTED,Po2,Po2: IN 20123752 bps / OUT 15411816 bps,0000.0c9f.f00a; 0026.9822.8bc3,"Cisco Systems, Inc; Cisco Systems, Inc",MISSING_ARP,0000.0c9f.f00a; 0026.9822.8bc3,NO,
DDC1-USON-ASW1,112,USON_APP1,,,,,7,0,TRAFFIC_DETECTED,Po2; Po32; Eth102/1/21,Po2: IN 16709560 bps / OUT 12338256 bps; Po32: IN 16594528 bps / OUT 18770888 bps; Eth102/1/21: IN 408 bps / OUT 3448 bps,0000.0c9f.f00a; 0017.a477.1038; 0017.a477.d838; 0017.a477.d83c; 0026.980a.c843; 0026.9822.8bc3; e007.1bd0.1c90,"Cisco Systems, Inc; Hewlett Packard; Hewlett Packard; Hewlett Packard; Cisco Systems, Inc; Cisco Systems, Inc; Hewlett Packard Enterprise",MISSING_ARP,0000.0c9f.f00a; 0017.a477.1038; 0017.a477.d838; 0017.a477.d83c; 0026.980a.c843; 0026.9822.8bc3; e007.1bd0.1c90,NO,
DDC1-USON-ASW1,113,USON_APP2,,,,,13,0,TRAFFIC_DETECTED,Po2; Eth146/1/10,Po2: IN 14658136 bps / OUT 10170352 bps; Eth146/1/10: IN 39704 bps / OUT 3688 bps,0000.0c9f.f00a; 0015.5dc8.1702; 0015.5dc8.1704; 0015.5dc8.1705; 0015.5dc8.1c1c; 0015.5dc8.1c1d; 0026.980a.c843; 0026.9822.8bc3; d067.269c.6d7f; e443.4b19.29fc; e443.4b1b.c574; e443.4b1b.c575; f848.97ae.fb90,"Cisco Systems, Inc; Microsoft Corporation; Microsoft Corporation; Microsoft Corporation; Microsoft Corporation; Microsoft Corporation; Cisco Systems, Inc; Cisco Systems, Inc; Hewlett Packard Enterprise; Dell Inc.; Dell Inc.; Dell Inc.; Hitachi, Ltd.",MISSING_ARP,0000.0c9f.f00a; 0015.5dc8.1702; 0015.5dc8.1704; 0015.5dc8.1705; 0015.5dc8.1c1c; 0015.5dc8.1c1d; 0026.980a.c843; 0026.9822.8bc3; d067.269c.6d7f; e443.4b19.29fc; e443.4b1b.c574; e443.4b1b.c575; f848.97ae.fb90,NO,
DDC1-USON-ASW1,114,USON_DATA1,,,,,7,0,TRAFFIC_DETECTED,Po2,Po2: IN 14018384 bps / OUT 9413264 bps,0000.0c9f.f00a; 0023.e942.5fc4; 0026.9822.8bc3; 00a0.98cf.6f6b; 00a0.98cf.7097; 00a0.98ec.4ecc; 00a0.98ec.4ed8,"Cisco Systems, Inc; F5 Inc.; Cisco Systems, Inc; NetApp; NetApp; NetApp; NetApp",MISSING_ARP,0000.0c9f.f00a; 0023.e942.5fc4; 0026.9822.8bc3; 00a0.98cf.6f6b; 00a0.98cf.7097; 00a0.98ec.4ecc; 00a0.98ec.4ed8,NO,
DDC1-USON-ASW1,115,USON_DATA2,,,,,7,0,TRAFFIC_DETECTED,Po2; Eth144/1/3,Po2: IN 14018384 bps / OUT 9413264 bps; Eth144/1/3: IN 10632 bps / OUT 11840 bps,0000.0c9f.f00a; 001e.67c8.22c6; 001e.67d4.ce94; 001e.67d4.ce95; 001e.67f1.81e9; 0026.980a.c843; 0026.9822.8bc3,"Cisco Systems, Inc; Intel Corporate; Intel Corporate; Intel Corporate; Intel Corporate; Cisco Systems, Inc; Cisco Systems, Inc",MISSING_ARP,0000.0c9f.f00a; 001e.67c8.22c6; 001e.67d4.ce94; 001e.67d4.ce95; 001e.67f1.81e9; 0026.980a.c843; 0026.9822.8bc3,NO,
DDC1-USON-ASW1,116,USON_VSERVER1,,,,,4,0,TRAFFIC_DETECTED,Po2; Eth100/1/1,Po2: IN 13527960 bps / OUT 8960952 bps; Eth100/1/1: IN 37776 bps / OUT 71104 bps,0000.0c9f.f00a; 0026.980a.c843; 0026.9822.8bc3; 14a9.d006.c707,"Cisco Systems, Inc; Cisco Systems, Inc; Cisco Systems, Inc; F5 Inc.",MISSING_ARP,0000.0c9f.f00a; 0026.980a.c843; 0026.9822.8bc3; 14a9.d006.c707,NO,
DDC1-USON-ASW1,117,USON_VSERVER2,,,,,4,0,TRAFFIC_DETECTED,Po2,Po2: IN 13536864 bps / OUT 9064744 bps,0000.0c9f.f00a; 0026.980a.c843; 0026.9822.8bc3; 0050.569f.3ef0,"Cisco Systems, Inc; Cisco Systems, Inc; Cisco Systems, Inc; VMware, Inc.",MISSING_ARP,0000.0c9f.f00a; 0026.980a.c843; 0026.9822.8bc3; 0050.569f.3ef0,NO,
DDC1-USON-ASW1,118,USON_VMMGT,,,,,2,0,TRAFFIC_DETECTED,Po2,Po2: IN 14702224 bps / OUT 9600040 bps,0000.0c9f.f00a; 0026.9822.8bc3,"Cisco Systems, Inc; Cisco Systems, Inc",MISSING_ARP,0000.0c9f.f00a; 0026.9822.8bc3,NO,
